feature,mean_importance,std_importance
grp_aches,0.21317324397088439,0.0012699167832379758
sleepdificulty,0.1432571036451633,0.0011697995317798957
health,0.06733438661118192,0.0012165646378412619
grp_fam_sup,0.05178462772383917,0.0013420455698017024
schoolpressure,0.03968577868327935,0.0004708140351573529
grp_talk_father,0.03340511842796762,0.0018573643628928306
age,0.02401287466287942,0.00017571311035291076
bodyheight,0.019684258892036836,0.00010393131848625467
bodyweight,0.01950079411322849,0.0002265745408243316
emcsocmed8,0.01876767931171542,0.000699163136063358
grp_talk_mother,0.018354791791224553,0.0006884647531773837
studaccept,0.016611247082930693,0.0005054828527974524
grp_online_contact,0.016178472498095866,0.0001615626190368279
grp_sweets,0.015934772078593173,0.00015370833798422504
grp_online_pref,0.015793322426693616,0.0002119368399424069
likeschool,0.01543902103106653,0.0005578711079447349
grp_fruits,0.01536391098467631,9.754480051142311e-05
physact60,0.015143294857469469,0.00014136116619857376
grp_friend,0.013831947436439654,0.0001566092265499954
grp_been_bullied,0.013797477102104164,0.0004964221194608858
grp_teacher,0.013410645897518347,0.0001535902191828443
grp_bfast,0.013223057045833394,6.728205795645884e-05
timeexe,0.011421797587085569,0.00012687538135047787
sex,0.010453924386221402,0.0002461794137990163
friendhelp,0.010416310354571068,0.00011122014679408962
studhelpful,0.010396999430978618,0.0002070603085805249
fasholidays,0.010251678780120408,0.00016860382348339877
teachertrust,0.00938911720470072,0.00015130492233128
fmeal,0.009112377398948289,7.475327288492017e-05
famdec,0.008566778857053174,0.0002070291459509285
thinkbody,0.008514945889673076,0.00016361594319423418
friendshare,0.008061283992553375,5.110819049601811e-05
famhelp,0.007925972699106592,0.00017569272191346455
studtogether,0.007304213062391221,9.986482995746149e-05
fight12m,0.007051939607204807,5.079213287938218e-05
fascomputers,0.006783949764500205,6.216592272419473e-05
injured12m,0.006753524131374035,0.00011356580696945578
fasfamcar,0.005854865266610032,0.00010460402905098378
grp_bully_others,0.005130154498676124,4.470127896491782e-05
fasbathroom,0.0049802650796362015,3.6289963964723044e-05
toothbr,0.00455225860663999,4.765050303994561e-05
fasdishwash,0.003382405705930888,3.4378161067765714e-05
fatherhome1,0.003254135380600682,2.829356666750994e-05
emcsocmed4,0.003219330435522602,5.12010673919401e-05
fasbedroom,0.0030662129755523793,5.0695590057893396e-05
emcsocmed3,0.0029832717176939702,2.9416325337387755e-05
emcsocmed6,0.002892119710599209,9.838241908211772e-05
employmo,0.0027683860155741807,5.4830489882634406e-05
emcsocmed9,0.0026852561101862685,7.036484105215845e-05
grp_else_home,0.0020558286837473096,2.303204616052389e-05
emcsocmed5,0.0019399949011219592,4.762054555793112e-05
emcsocmed7,0.0019048940582327603,1.8348935420605176e-05
employfa,0.0017876053934681104,3.554088791396552e-05
motherhome1,0.0007931114465414748,2.720734308662875e-05
stepfahome1,0.0005361606989234295,1.788278221398538e-05
stepmohome1,0.00012110389343817168,6.6223276275463045e-06
