model,mean_test_r2,std_test_r2,mean_test_rmse,std_test_rmse,mean_test_mae,std_test_mae,mean_train_r2
ElasticNet,0.4878,0.0084,15.6432,0.1017,12.3174,0.0685,0.4888
RandomForest,0.5014,0.0086,15.4342,0.1036,12.1389,0.0628,0.7855
