class,support,precision,recall,f1
low,111481,0.8333214633335707,0.9446093953229698,0.885482446920328
medium,16469,0.22460087082728591,0.22551460319387942,0.22505680957430693
high,22917,0.7771916603868375,0.2700178906488633,0.4007901810291784
