run,seed,train_n,test_n,alpha,l1_ratio,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,n_selected_features
1,11,120693,30174,0.018268725846640545,0.95,0.42509674165918776,0.42568615327204706,16.561799341502503,16.586535363044455,13.179738690157073,13.237464993256333,22
2,23,120693,30174,0.024686983751631496,1.0,0.4268783711036498,0.4185955317257448,16.545639207113403,16.65004879464014,13.176542772812159,13.232437150742875,20
3,37,120693,30174,0.010609711857717455,1.0,0.424585035485904,0.4279307329647083,16.569339520278543,16.55340792682348,13.191422568888965,13.177467112584623,24
4,49,120693,30174,0.010610769441692617,1.0,0.42231647456703625,0.43679961499767317,16.59651967235639,16.445382460985208,13.217371733142256,13.086627550707952,24
5,61,120693,30174,0.010664843883598184,1.0,0.42729330433922663,0.41701092168439025,16.552132094285177,16.622396090349973,13.181425709385584,13.19327374236955,22
