run,seed,train_n,test_n,alpha,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,n_selected_features
1,11,120693,30174,0.0063732422159225605,0.4047483791704609,0.40638838515642184,16.852348314849156,16.862898669741742,13.423872372245294,13.476960904296856,18
2,23,120693,30174,0.00608897446610344,0.4060417473068342,0.4012124249734068,16.843723792493087,16.897121155147047,13.425518052980687,13.447922968679016,18
3,37,120693,30174,0.004810702234599147,0.4041469149432658,0.4088470400374189,16.86103450540659,16.827245979536894,13.435676940226456,13.420254771238513,18
4,49,120693,30174,0.0011434968854997158,0.4022934569353449,0.4161804137389995,16.88169458230853,16.743715533837424,13.462563063461868,13.314748072442205,20
5,61,120693,30174,0.0011515140685125903,0.40659252406906854,0.39898664879693335,16.848619400198956,16.877397427972483,13.428233166452191,13.421881941548808,20
