distress_cutoff,decision_cutoff,positive_rate,roc_auc,tp,fn,fp,tn,fnr,tpr,fpr
35,35,0.4362,0.838,47214,18600,17519,67534,0.2826,0.7174,0.206
60,60,0.1714,0.8705,7969,17893,2400,122605,0.6919,0.3081,0.0192
