model,run,seed,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae
ElasticNet,1,11,0.4892087907388951,0.4866401368839055,15.611040150919917,15.6816584498899,12.303429252761264,12.369907485395789
ElasticNet,2,23,0.49105651408357454,0.4785279736140571,15.59175244379863,15.768552782309676,12.298632046740359,12.387731505379032
ElasticNet,3,37,0.487908034505495,0.490928615725315,15.631066186531378,15.615376204588506,12.324329866893414,12.30545507508681
ElasticNet,4,49,0.48565938719070656,0.5002724818180366,15.660204998621834,15.490988770922888,12.346697161829187,12.213018837658463
ElasticNet,5,61,0.4900055804693044,0.48260531557304587,15.619622203346555,15.659374071567367,12.319353370085771,12.310641079446908
RandomForest,1,11,0.7854969338714176,0.5019813905903789,10.116420796731962,15.445565766216427,7.829240455718592,12.181253054155995
RandomForest,2,23,0.7864269139294454,0.4913794952935153,10.100279971120854,15.573035021567044,7.827971251381329,12.19969012434262
RandomForest,3,37,0.7851236911282338,0.5062656991623167,10.125323055595658,15.378350635942697,7.843699323266344,12.108018280439603
RandomForest,4,49,0.7842000369186103,0.512665090783867,10.143730840986452,15.2977045049738,7.8554756717152125,12.044918265514024
RandomForest,5,61,0.7863106254160039,0.4946146260564206,10.110654669324664,15.476571268172783,7.834960596705909,12.16079288620462
